rd_inv,milepost,caseno,accyr,rte_nbr,county,func_cls,month,daymth,acctype,severity,loc_type,rd_char1,rdsurf,light,weather
090,52.85,2009000251,2009,090,19,01,01,02,06,1,4,5,3,1,04
018,0.21,2009000252,2009,018,17,12,01,02,06,1,5,2,2,4,01
005,67.48,2009000253,2009,005,21,01,01,02,06,7,4,1,4,1,01
005,74.73,2009000254,2009,005,21,11,01,02,05,1,4,1,4,1,01
005,74.63,2009000255,2009,005,21,11,01,02,05,6,4,1,4,1,01
005,61.97,2009000256,2009,005,21,01,01,02,33,7,4,1,4,6,01
508,1.69,2009000257,2009,508,21,07,01,02,01,6,1,1,4,1,01
090,244.63,2009000258,2009,090,22,01,01,03,34,1,4,1,8,2,01
090,231.72,2009000259,2009,090,01,01,01,03,34,1,4,1,4,1,01
005,188.15,2009000260,2009,005,31,11,01,05,07,1,4,1,2,1,02
005,197.06,2009000261,2009,005,31,11,01,03,34,1,4,1,1,1,01
020,69.6,2009000262,2009,020,29,06,01,02,34,1,4,6,3,1,02
009,41.59,2009000263,2009,009,29,07,01,02,33,1,4,8,4,6,04
005P101039,0.09,2009000264,2009,005,06,11,01,02,33,1,4,6,3,1,01
005,0.25,2009000265,2009,005,06,11,01,02,06,1,4,1,2,1,02
005,15.8,2009000266,2009,005,06,01,01,02,33,1,4,1,3,2,01
005,0.25,2009000267,2009,005,06,11,01,02,06,1,4,1,2,1,02
082,31.33,2009000268,2009,082,39,11,01,02,34,1,4,1,4,1,01
012,153.1,2009000269,2009,012,39,02,01,03,34,1,4,6,3,1,02
082,30.66,2009000270,2009,082,39,11,01,02,33,1,4,1,3,4,02
024,0.55,2009000271,2009,024,39,12,01,02,33,1,4,1,4,3,01
005R510846,0.34,2009000272,2009,005,34,11,01,07,06,1,1,6,2,1,03
005,16.01,2009000273,2009,005,06,01,01,03,04,1,4,2,1,6,01
090,239.85,2009000274,2009,090,22,01,01,02,34,1,4,1,8,1,01
395,173.47,2009000275,2009,395,32,12,01,02,34,1,4,2,4,1,01
090,282.71,2009000276,2009,090,32,11,01,02,33,1,4,1,4,1,01
002,60.43,2009000277,2009,002,17,02,01,10,33,1,4,6,3,6,04
082,59.17,2009000278,2009,082,39,01,01,02,27,1,4,6,1,6,01
